job_title,job_url,company_name,location,posted,job_description
Junior Full-stack AI Developer with verification,https://www.linkedin.com/jobs/view/4398951667/,Avanade,"Toronto, ON (On-site)",,"Introduction

Kick-start your career by joining a collaborative team where learning, mentorship, and real-world impact go hand in hand. In this role, you’ll work alongside experienced developers and directly with clients to understand their business needs and build modern technology solutions. You’ll gain hands-on exposure to AI engineering, full-stack development, and data pipelines, while developing strong technical, problem-solving, and consulting skills in a supportive environment where your growth truly matters.

Come join us

Join our team to build new technology solutions where everyone’s contribution matters. You’ll work directly with clients to understand their business, systems, and goals, and collaborate with your teammates to deliver high-quality results. As you work, you’ll keep learning and improving your skills, because progress and growth are important to us. Together, we do what matters.

What you’ll do

Work on projects that help you grow your skills in AI engineering, full stack development, and data pipelines for enterprise applications.

AI Engineering: Help build AI agents by connecting models to APIs, writing integration code, and testing endpoints to make sure services work together smoothly.

Full Stack Development: Build front-end features, fix UI bugs, connect them to back-end routes, and write unit tests to support the application.

Data Pipeline Engineering: Write and maintain ETL scripts, check scheduled jobs for errors, and document pipeline steps to keep data flowing reliably.

Meet your team and clients to clarify requirements.

Deliver features that are high-quality, reliable, and easy to test.

Follow technical best practices, participate in code reviews, and pair programs to solve tough problems.

Practice breaking down tasks and estimating how long they’ll take.

Collaborate closely with senior developers who provide guidance and mentorship, while actively taking responsibility for your own growth by developing technical and consulting skills through initiative and continuous learning.

Qualifications

Characteristics that demonstrate success for this role:

Analytical, curious, agile
Team player and good communicator
Problem-solver, patient and quality-driven
Self-motivating
Innovative mindset
Job Qualifications
You are interested in modern application development for large organizations.
You are enthusiastic about continuous learning, enjoy collaborating with others, and are motivated to launch your career within a supportive, capable team. Especially if you have hands-on experience with Python and have existing exposure to AI tools.
Bachelor degree in Computer Science, Engineering or related field.
Compensation at Avanade varies depending on a wide array of factors, which may include but are not limited to the specific office location, role, skill set, and level of experience. As required by local law, Avanade provides a reasonable range of compensation, based on full-time employment, for roles that may be hired as set forth below.

The recruiting efforts for this position are intended to fill a brand new position.

The base pay range shown below is intended as a guideline to reflect the majority of offers for this role.

It does not represent a maximum limit — in some cases, actual compensation may exceed the range where appropriate.

Salary: British Columbia/Ontario - 31$ to 37$ per hour
 information on our benefits here: Benefits and Total Rewards | Avanade Canada"
Software Engineer (Python) | Remote,https://www.linkedin.com/jobs/view/4384990656/,Crossing Hurdles,Canada (Remote),,"Position: Python SWE
Type: Hourly contract
Compensation: $100 per hour
Location: Remote
Commitment: Part-time, approximately 20 hours per week; contract expected to last at least 1 month
Role Responsibilities
Build and maintain complex, production-grade Python services, tools, or frameworks
Apply advanced Python features such as async/await, generators, decorators, and context managers
Design modular, testable, and well-structured codebases using modern Python best practices
Contribute to AI model-training workflows by providing high-quality engineering input
Collaborate asynchronously with researchers and engineers on model-training projects
Requirements
Strong experience building and maintaining production-grade Python systems
Strong command of Python language fundamentals and advanced features
Strong experience with modern Python tooling and frameworks
Strong experience writing modular, testable code and using testing frameworks
Ability to reason about performance, profiling, and memory optimization
Ability to work independently in a remote, contract-based environment
Application Process
Upload your resume.
Complete a technical interview.
Submit a short form."
Software Engineer - All Levels with verification,https://www.linkedin.com/jobs/view/4286968059/,GlossGenius,"Toronto, ON",,"About GlossGenius
GlossGenius is building an ecosystem enabling entrepreneurs to succeed. We empower small business owners to focus on being creators, not admins, by offering a range of business management tools including booking and scheduling, marketing, analytics, payment processing and much more.
Over 100,000 small business owners have chosen to rely on GlossGenius every day to run their entire set of business operations. Joining its powerful, intuitive platform with its vibrant, distinguished brand, GlossGenius is the ideal combination of a fintech, SMB software, and consumer company all in one.
About the Role
GlossGenius has grown significantly, supporting tens of thousands of customers and seeing billions of transaction volumes on our platforms. As our customers continue to grow their businesses, we want to enable them to be more successful. For that, we’re building AI features that will transform how our customers operate and grow their businesses
That’s why we are seeking strong Software Engineers, All levels to join one of our Product or Platform-based teams. Product-focused engineers work at the intersection of business needs and technical solutions, solving key customer problems. Platform-focused engineers build scalable, reliable, and extensible systems that empower product teams to move faster, deliver with quality, and focus on customer value.
This role is Hybrid in our NYC headquarters (Tuesdays & Thursdays in-office).
This role is remote from the San Francisco Bay Area
This role is remote from the Greater Toronto Area
What We Work With
We are open to hearing from candidates who know different programming languages and are excited to learn more and grow their skills. Our current stack:
Kotlin (micronaut, jooq), Ruby (Rails, Sidekiq), gRPC, protobuf
Typescript / Javascript (React, Redux)
React Native
AWS, Kubernetes, Postgres and Terraform
What You’ll Do
As a Software Engineer at GlossGenius, you'll play a critical role in shaping a platform that powers over 100,000 small businesses and processes more than $3 billion in payments annually. Engineers work on high-impact initiatives that support our rapid growth and evolving scale. Examples of your potential responsibilities include:
Develop, release, and run large-scale web applications that empower beauty and wellness businesses to operate and grow.
Build new AI features for our customers.
Develop and define our microservice-based infrastructure.
Build tools and solutions that enable internal teams to work faster, more effectively, with more confidence, and improve the value they can provide our users (Business Scalability team).
Work on core experiences such as making payments friction-free for clients and customers, building tools to help customers earn more per hour, or enabling businesses to effortlessly grow and manage their teams.
Focus on front-end development, crafting intuitive and engaging user experiences for our web and mobile applications.
Improve performance, reliability, scalability, and security for our backend systems.
What We’re Looking For
2+ years of professional experience in software development.
A Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
A strong desire to move fast and have a significant impact.
An entrepreneurial mindset, eager to take ownership and contribute new ideas to solve challenging problems.
Ability to analyze and improve efficiency, scalability, and stability of various system resources.
Demonstrates strong collaboration skills and team spirit.
Benefits & Perks 
Flexible PTO
Competitive health & dental insurance options, with premiums partially or fully covered by GG
In-person opportunities that are designed to help team members foster collaboration and build community (ie; working out of a co-working space, team dinners, and other team building activities)
Fertility and adoption benefits via Carrot
Generous, fully-paid parental leave policy
401k benefit - employees are eligible to contribute starting day 1 of employment
Professional Development - employees receive a yearly stipend for approved learning and educational-related expenses
Pre-tax commuter benefits
Dependent Care FSA
Home office support
At GlossGenius, we celebrate our differences and are committed to creating a workplace where all employees feel supported and empowered to do their best work. We believe this benefits not only our employees but our product, customers, and community as well. GlossGenius is proud to be an Equal Opportunity and Affirmative Action Employer. 
Personal Information: Notice at Collection for Employees and Applicants
Agency Submissions
If a resume or applicant is submitted to GlossGenius by a third party without a signed search agreement in place, it will become the property of GlossGenius and no fee will be paid, irrespective of whether the candidate is hired."
QA Engineer (Early Career) (Canada) with verification,https://www.linkedin.com/jobs/view/4398495303/,Jobright.ai,Canada (Remote),,"Jobright is your personal AI job search agent that transforms the way you do job search from solo, time-consuming efforts to a fast, expert-guided journey, simplifying every job search step and accelerating your route to the best job outcomes. They are seeking a QA Engineer to design and execute test plans, identify bugs, and collaborate with teams to ensure product quality.
Why Join Us
• Build real, production AI agents used by real users
• High ownership and impact
• Work at the intersection of AI, agents, and product
• Shape how people experience AI-driven job search
Responsibilities
• Design and execute test plans, test cases, and regression suites that ensure product quality across web and API layers before every release
• Identify, reproduce, and document bugs with clear severity assessments and reproduction steps that help engineers resolve issues quickly
• Build and maintain automated test frameworks that reduce manual testing effort and catch regressions early in the development cycle
• Collaborate with product and engineering teams during sprint planning and feature reviews to surface edge cases and quality risks before code is written
• Track and report on quality metrics such as defect rates, test coverage, and release readiness to give the team a clear picture of product health
Qualification
Required
• Recent graduate or early-career professional (0–2 years of experience) with a degree in Computer Science, Software Engineering, or a related technical field
• Hands-on experience writing automated tests using frameworks such as Selenium, Cypress, Playwright, or Pytest
• A sharp eye for detail and the natural instinct to ask ‘what could go wrong’ — comfortable thinking through edge cases, boundary conditions, and failure modes
• Strong communication skills with the ability to write clear, actionable bug reports that engineers actually want to read
Preferred
• Previous internship or project experience owning QA processes, writing test strategies, or shipping tested features in a team environment
• Familiarity with API testing tools like Postman or REST Assured and experience validating backend behavior independent of the UI
• Exposure to integrating automated tests into CI/CD pipelines using tools like GitHub Actions, Jenkins, or CircleCI
• Interest in shifting quality left — advocating for testability in design discussions rather than only catching issues after implementation"
Software Engineer (Java),https://www.linkedin.com/jobs/view/4399287046/,micro1,Canada (Remote),,"Job Title: Java Developer
Job Type: Contractor
Location: Remote
Job Summary:
Join our customer's team as an expert Java Developer. You will leverage your deep understanding of Java to architect, develop, and maintain robust software solutions in a fully remote and collaborative setting. If you are passionate about creating high-quality code and delivering exceptional results, this role will provide the challenging and rewarding environment you seek.
Key Responsibilities:
Design and implement scalable, efficient, and maintainable Java applications.
Collaborate with cross-functional teams to define, design, and deliver new features and enhancements.
Conduct thorough code reviews, ensuring adherence to best practices and high standards of code quality.
Troubleshoot and resolve complex technical issues in a timely manner.
Contribute to architectural decisions and participate in system integration planning.
Document technical designs, processes, and workflows clearly and effectively.
Stay updated with the latest Java developments, frameworks, and industry trends.
Required Skills and Qualifications:
Expert-level proficiency in Java, with a strong portfolio of completed projects.
Solid experience with object-oriented design, data structures, and algorithms.
Strong written and verbal communication skills with the ability to explain technical details to non-technical stakeholders.
Proven ability to work independently in a remote environment while collaborating with distributed teams.
Demonstrated problem-solving skills and attention to detail.
Experience with version control systems such as Git.
Familiarity with agile methodologies and remote collaboration tools.
Preferred Qualifications:
Experience with modern Java frameworks such as Spring or Hibernate.
Background in cloud-based deployments or microservices architecture.
Previous experience working directly with international customers or distributed teams."
"Software Engineer, Backend (All Levels / All Teams) with verification",https://www.linkedin.com/jobs/view/3998438100/,DoorDash,"Toronto, ON",,"About The Role

DoorDash is building the world's most reliable on-demand, logistics engine for delivery. We are continuing to grow rapidly and expanding our Engineering offices globally! We are looking for Backend Engineers to build and maintain a large scale 24x7 global infrastructure system that powers DoorDash's 3-sided marketplace of Consumers, Merchants and Dashers.

We're looking for Backend Engineers to work on both Product and Product Platform based teams. Product focused Engineers work at the intersection of product and infrastructure to solve key business problems with elegant technical solutions. You'll operate our backend services and architecture that support all product functionality and will be challenged to consider the big picture -- collaborating cross-functionally, as well as evaluating and executing on trade-offs to maximize business impact for the company.

This role is hybrid with some in-office time expected and will report to an Engineering Manager.

You're excited about this opportunity because you will…

Develop, release and run large-scale web applications
Develop and define the backend architecture and tech stack for a product area
Improve performance, reliability, scalability and security for our backend systems
Be involved in transitioning our monolithic codebase to a microservice-based architecture
Completely disrupt logistics by tackling bleeding-edge, technical problems
We're excited about you because you have…

B.S., M.S., or PhD. in Computer Science or equivalent
Prior experience working with backend tech stacks
Ability to analyze and improve efficiency, scalability, and stability of various system resources
Experience with service oriented architecture, writing REST API's, unit testing, and architectural design
Understanding of modern web stacks and architecture (HTTP, REST)
Experience with SQL and NoSQL databases and other technologies (e.g. Postgres, Redis, Elasticsearch, RabbitMQ)
Notice to Applicants for Jobs Located in NYC or Remote Jobs Associated With Office in NYC Only

We use Covey as part of our hiring and/or promotional process for jobs in NYC and certain features may qualify it as an AEDT in NYC. As part of the hiring and/or promotion process, we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound from August 21, 2023, through December 21, 2023, and resumed using Covey Scout for Inbound again on June 29, 2024.

The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here: Covey

Compensation

Actual compensation within the pay range listed below will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. Base salary is localized according to employee work location.

In addition to base salary, the compensation for this role includes opportunities for equity grants. Talk to your recruiter for more information.

DoorDash cares about you and your overall well-being. That's why we offer a comprehensive benefits package for all regular employees, that includes paid time off, paid parental leave, wellness benefit and several paid holidays.

Additionally, for full-time employees, DoorDash offers medical, dental, and vision benefits, disability and basic life insurance, an RRSP including an employer match, and a mental health program, among others.

To learn more about our benefits, visit our careers page here.

The base pay for this position ranges from our lowest geographical market up to our highest geographical market within British Columbia.

I4

$120,000—$150,000 CAD

I5

$149,500—$187,000 CAD

I6

$185,000—$231,500 CAD

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started by enabling door-to-door delivery, and we are looking for team members who can help us go from a company that is known as the place you order food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees' happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We're committed to growing and empowering a more inclusive community within our company, industry, and cities. That's why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

If you need any accommodations, please inform your recruiting contact upon initial connection."
"Associate, Software Engineer, New Grad Card Expansion with verification",https://www.linkedin.com/jobs/view/4395368597/,Capital One,"Toronto, ON (Hybrid)",,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario,

Associate, Software Engineer, New Grad Card Expansion

MUST INCLUDE YOUR RESUME AND UNOFFICIAL TRANSCRIPT IN ONE PDF DOCUMENT IN THE ATTACHMENT SECTION WHEN YOU CREATE YOUR PROFILE TO APPLY.

About Capital One Canada.

For over 30 years, we’ve been on a mission to change banking for good and build relationships by making credit accessible, simple, intuitive and rewarding. We want to help Canadians succeed with credit, because we believe in people — in our customers, in our associates, and in talent like you!

About The Team

Yes, we’re a credit card company. But we’re more than that too. We’re driven by what our customers want, and how to make their lives simpler.

We’re always looking for creative ways to offer digital solutions that make sense for our customers. With your help, we’ll build the next generation of banking in Canada based on customer-focused values, compelling products and great engineering.

About The Role

Our environment is creative, filled with teams that are passionate about the work they're doing and the people they are doing it for. We're a technology thought leader in the financial industry and we want to keep it that way.

We have a passion for open-source and for working with the latest technologies. Whether you're a big Apple fan or an Android lover, a UI developer or prefer NoSQL databases over anything else, you'll fit in our team. All you need is to be passionate about technology!

Below are some of the skills the team is looking for, but you’re not expected to have them all. Curiosity and willingness to learn are what matter most.

IDE: Android Studio, XCode, Visual Studio Code, IntelliJ
Language: Kotlin, Swift, Javascript, Typescript, GoLang, NodeJS
AWS: S3, EC2, Lambda, Route53, Security Groups, IAM roles
Monitoring Tool: Splunk, New Relic, Cloudwatch
Testing Framework: MockitoJUnitRunner, Espresso, XCTest
Our Associates are involved in business critical projects. Here are some examples.

Improve user experience for Android / iOS customers
Develop CI/CD pipelines to AWS cloud environment 
Remediate and enhance cyber security
Create front end applications with React and Angular. 
Develop backend Microservice applications and APIs
Think it. Code it.

This is our motto! By that, we mean that you, as a member of one of our great Agile teams will be responsible for the design, coding, testing and delivery of solutions that benefit our customers and Canadians in general.

Continuous Learning

We’re here to help you develop your knowledge and skills, both on the job and in the classroom. Our engineers have access to incredible continuous learning tools and courses through our very own Tech College, a world-class learning hub that offers both online and in-person classes for across multiple disciplines—Cloud Computing, Cyber Security, Mobile Development, Machine Learning & AI, to name a few.

As a new Software Engineer, you’ll join the Tech Development Program (TDP), which takes place over your first year with us and involves hands-on learning, development, and networking. Throughout your time in the program you could tackle front-end, back-end, full-stack, mobile development, or maybe even all of them.

Your Responsibilities: 
Work as part of a dynamic team throughout the software development life cycle
Collaborate with designers and analysts to implement enhancements or new applications 
Develop code to meet story acceptance criteria 
Conduct design and code reviews to ensure high-level quality output
Ensure adherence to continuous improvement practices as required to meet quality, and time to market imperatives 
Maintain records to document program development, and revisions 
Provide third-level support of software solution as needed
Basic Qualifications:
Have obtained a Bachelor’s degree or higher between September 2025 to September 2026
Good communication, presentation, and writing skills
Good understanding of testing fundamentals
Experience in unix or linux operating systems
Able to work within a team setting and actively participate and collaborate in team discussions
Preferred Qualifications:
Experience in front end development such as JavaScript, HTML, mobile, frameworks such as React, Vue, Angular
Knowledge of programming languages, including but not limited to Java, Python, JavaScript, NodeJS, Kotlin. 
Experience with Jenkins CI/CD, microservices, API design / integration 
Experience with version control technology i.e. Git
Experience in a Linux/Unix environment with strong coding background. 
Working at Capital One.

Enjoy a hybrid work environment, with 3 days in the office. Build a comfortable workspace with our one-time, Work From Home allowance and enjoy our head office located conveniently across the street from Union Station.

Live well—physically, financially and emotionally. Receive support for you and those who are most important to you, with full coverage for spouses, domestic partners, and dependents. With up to $3000 in mental health coverage and up to $5000 in tuition subsidies per year—and much more—you’ll discover that Capital One is committed to helping you live your best life.

Capital One Canada is an equal opportunity employer committed to fostering a diverse and inclusive work environment. We consider all qualified applicants and will meet the needs of those requiring reasonable accommodations.

If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.

For technical support or questions about Capital One’s recruiting process, please send an email to Careers@capitalone.com.

Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.

Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).

We may use your information for automated decision making. We may, for certain purposes, render a decision based exclusively on automated processing of your personal information as a part of the candidate screening process. 

Capital One Canada is an equal opportunity employer committed to fostering a diverse and inclusive work environment. We consider all qualified applicants and will meet the needs of those requiring reasonable accommodations.

If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at ARCanada@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.

For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com

Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.

Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC)."
Software Engineer,https://www.linkedin.com/jobs/view/4395301387/,HISH IT SERVICES,Canada (Remote),,"Role : Software Engineer
Location: Remote
Job type: Contract(6 Months) - High possibility of Extention
Pay : CAD $47 /Hour
Start date : Immediate
 ***Candidates must have a valid work permit to work in Canada***
   As a Software Engineer on the nearshore team, you will contribute to full-stack development across our B2B and B2C SaaS products, working with React/TypeScript on the frontend and NestJS/Node.js on the backend. You’ll collaborate closely with senior engineers and the Technical Lead Engineer to build secure, scalable, and customer-centric features. This is a great opportunity to grow your skills while working on applications that secure millions of small businesses and consumers in the cybersecurity domain.
 Key Responsibilities
Feature Development & Delivery
Build and maintain features for B2B and B2C SaaS products.
Collaborate with fellow engineers, the Product Manager, and UX Designer to understand requirements and estimate timelines.
Communicate progress, blockers, and delays proactively to the team.
Contribute to improving engineering practices and processes.
Explore and experiment with generative AI tools to enhance development workflows.
 Programming & Implementation
Write high quality, maintainable, and well-tested code.
Implement front-end UI components using TypeScript and React.
Implement RESTful API endpoints using TypeScript, NestJS, and Node.js.
Participate in peer code reviews to maintain code quality and follow engineering best practices.
Collaborate with developers to build reusable code and components.
Follow software security requirements and secure coding practices.
Leverage modern developer tools (including AI-assisted tools) to enhance productivity.
 Software Design
Contribute to technical discussions and design reviews.
Help design and build reusable React components for the front-end UI.
Consider performance, scalability, and user experience when implementing features.
 Please share your profile with hr@hish.ca"
Junior Backend Engineer with verification,https://www.linkedin.com/jobs/view/4395490720/,Lush Fresh Handmade Cosmetics North America,"Toronto, ON (Hybrid)",,"Lush Handmade Cosmetics is a global enterprise with more than 900 retail shops in 52 countries focused on producing creative and indulgent cosmetics and bath products using only the freshest organic fruits and vegetables, pure essential oils, and safe synthetics. We are dedicated to fair-trade sourcing, supporting sustainable communities, and giving back through our Lush Giving Products which donate 75% to grassroots organizations that support people, animals and the planet.
The Team
Lush Digital leads digital strategy for Lush across online, retail & manufacturing globally, creating, developing and supporting the tools that drive the business. From design, artwork & photography to engineering, systems & data, we support all of Lush’s digital needs.
The Role
As a Junior Backend Engineer, you will contribute to backend services and tooling that support the Global business. Your responsibilities will include developing custom software, including our REST APIs, GraphQL subgraphs, extending open-source software like Saleor, ERPNext, and integrating with third-party solutions like Power BI, CloudSQL.
We endeavour to provide innovative solutions for bespoke LUSH use-cases. This role would suit a candidate who is passionate about developing high-quality, performant products which are suitable for use in a global business.
Reporting to the Backend Engineering Team Lead, the Junior Backend Engineer undertakes the following RESPONSIBILITIES:
Write clear, maintainable code that will scale across projects and distributed development teams.
Collaborate with engineers, QAs, designers, and partners to solve interesting and challenging problems for delivering scalable technology worldwide.
Refactor, review and maintain existing enterprise application code bases ensuring scalability, performance and security are taken into consideration, building new features to support the growth of global business.
Actively research and implement innovative techniques and features to enhance the development process.
You bring the following QUALIFICATIONS:
TypeScript development experience, proficient in the native libraries and able to demonstrate a genuine interest in TypeScript coding philosophy and practices.
Able to translate product or business requirements into technological initiatives.
Able to autonomously debug and resolve issues.
Comfortable writing SQL queries.
Have a very good working knowledge of git.
Have experience building web applications using a web framework like Express.
Have experience building GraphQL APIs with Apollo federated GraphQL or Hive Gateway experience as a bonus.
Have working experience of application packaging and deployment. Some knowledge of Docker would be ideal.
What’s it like working for Lush
People are at the heart of our business. We want you to enjoy and challenge yourself, build a career, and teach us what we don’t know, so we’ve created a culture where your job description is a starting point, not an end goal. Our working style is flexible, fluid, supportive, and authentic - if you’ve got the drive to push yourself and try different things, you will have our support.

Thriving with a diverse company culture, celebrating the uniqueness of our staff, and committed to inclusion. We are proud to be an equal opportunity employer.
We thank all interested applicants; however, only qualified candidates will be contacted.
We’re 10% Employee Owned - all colleagues play a role in protecting our ethics and our independence, contributing ideas for the future and sharing in the rewards of success when the company is doing well.
Job Type: Full-time, Regular role.

Work Type: Hybrid role, must have flexibility to go on-site 1-2 days/week.

Job Location: The successful candidate must be located in or around Toronto, ON.
Recruitment Process Overview: 
 This salary range is based on an assessment of the local market and may vary depending on the successful candidate's location. This range is based on base salary and does not include additional bonus program and total rewards eligibility.
Base Salary Range: $67,140 CAD - $74,600 CAD
 Best of luck on your job search, and don't forget to follow us to learn more!
We Are LushYouTube
LinkedIn
Find our Personal Privacy Policy details here.
Lush Cosmetics North America respectfully recognizes that our business operates on Indigenous territory across Turtle Island. As a business headquartered in Canada, our largest facilities are located on the unceded territories of the Musqueam, Squamish and Tsleil-Waututh, as well as here on the lands of the Mississaugas of the Credit, Anishnabeg, Chippewa, Haudenosaunee and Wendat, and now home to many diverse First Nations, Inuit and Métis peoples.

Our commitment to reconciliation and decolonization is guided by the Truth and Reconciliation Commission of Canada: Calls to Action #92. We recognize that our facilities, along with our settler and newcomer staff are guests on this land and as we act to repair past harm, we do it together in ally ship with Indigenous People everywhere, including staff, customers and with leadership from organizations and communities we work with."
Backend Engineer with verification,https://www.linkedin.com/jobs/view/4395908039/,Faire,"Toronto, ON (Hybrid)",,"About Faire

Faire is an online wholesale marketplace built on the belief that the future is local — independent retailers around the globe are doing more revenue than Walmart and Amazon combined, but individually, they are small compared to these massive entities. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Picture your favorite boutique in town — we help them discover the best products from around the world to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses everywhere can compete with these big box and e-commerce giants.

By supporting the growth of independent businesses, Faire is driving positive economic impact in local communities, globally. We’re looking for smart, resourceful and passionate people to join us as we power the shop local movement. If you believe in community, come join ours.

About The Role

Imagine a world where every engineer at Faire can ship code faster, deploy confidently, and test seamlessly—because of the tools you build. Our Developer Productivity team makes that vision a reality, and we're looking for a back-end engineer to help take it even further.

In this role, you will work on internal AI-powered tools, CI/CD pipelines, test automation, experimentation and translation frameworks, and other initiatives that streamline the development lifecycle. Your work will remove bottlenecks, improve reliability, and enable engineers across Faire to build at incredible speed.

What You’ll Do
Build and maintain high-quality features for internal developer tooling.
Identify pain points in engineering workflows and design both immediate fixes and long-term improvements.
Experiment with LLMs and AI-powered automation to redefine how engineers write, test, and deploy code.
Enhance the reliability and speed of development environments, CI/CD pipelines, and automation frameworks.
Contribute to the platform roadmap, using data-driven insights to set priorities and measure impact.
What We’re Looking For
2+ years of experience in back-end development (Java, Kotlin, or similar).
Passion for developer experience, tooling, and automation.
Interest in AI/LLMs and their applications in developer productivity.
Strong understanding of CI/CD systems and cloud infrastructure (GitHub Actions, Buildkite, Docker, AWS, OCI, or similar).
Ability to collaborate across teams, solve complex engineering problems, and drive efficiency.
Curiosity and enthusiasm for exploring new tools and technologies to enhance development workflows.
Bonus point for experience working with monorepos and large-scale codebase management.
Salary Range

Canada: the pay range for this role is $129,500 - $178,000 per year.

This role will also be eligible for equity and benefits. Actual base pay will be determined based on permissible factors such as transferable skills, work experience, market demands, and primary work location. The base pay range provided is subject to change and may be modified in the future.

Hybrid Faire employees currently go into the office 3 days per week on Tuesdays, Thursdays, and a third flex day of their choosing (Monday, Wednesday, or Friday). Additionally, hybrid in-office roles will have the flexibility to work remotely up to 4 weeks per year. Specific Workplace and Information Technology positions may require onsite attendance 5 days per week as will be indicated in the job posting.

Why you’ll love working at Faire
We are entrepreneurs: Faire is being built for entrepreneurs, by entrepreneurs. We believe entrepreneurship is a calling and our mission is to empower entrepreneurs to chase their dreams. Every member of our team is taking part in the founding process.
We are using technology and data to level the playing field: We are leveraging the power of product innovation and machine learning to connect brands and boutiques from all over the world, building a growing community of more than 350,000 small business owners.
We build products our customers love: Everything we do is ultimately in the service of helping our customers grow their business because our goal is to grow the pie - not steal a piece from it. Running a small business is hard work, but using Faire makes it easy.
We are curious and resourceful: Inquisitive by default, we explore every possibility, test every assumption, and develop creative solutions to the challenges at hand. We lead with curiosity and data in our decision making, and reason from a first principles mentality.
Faire was founded in 2017 by a team of early product and engineering leads from Square. We’re backed by some of the top investors in retail and tech including: Y Combinator, Lightspeed Venture Partners, Forerunner Ventures, Khosla Ventures, Sequoia Capital, Founders Fund, and DST Global. We have headquarters in San Francisco and Kitchener-Waterloo, and a global employee presence across offices in Toronto, London, and New York. To learn more about Faire and our customers, you can read more on our blog.

Faire provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.

Faire is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Accommodations are available throughout the recruitment process and applicants with a disability may request to be accommodated throughout the recruitment process. We will work with all applicants to accommodate their individual accessibility needs. To request reasonable accommodation, please fill out our Accommodation Request Form (https://bit.ly/faire-form)

Privacy

For information about the type of personal data Faire collects from applicants, as well as your choices regarding the data collected about you, please visit Faire’s Privacy Notice (https://www.faire.com/privacy)"
